student_name,age,gender,region,internet_access_type,education_level,employment_status,device_type,weekly_study_hours,learning_goal,prior_courses_completed,course_name,course_category,difficulty_level,total_modules,total_quizzes,course_duration_weeks,enrollment_date,completion_status,login_date,session_duration_minutes,modules_accessed,videos_watched,total_posts,avg_session_duration,assessment_type,score_obtained,quiz_avg_score,assignment_avg_score,satisfaction_rating,engagement_score,performance_score,study_consistency,course_load_ratio,activity_rate
Ashley Thompson,17.0,Female,Region Vii,Mobile,Graduate,Student,Desktop,15.1,Academic Requirement,7.0,Data Science Fundamentals,Business,Beginner,21.0,20.0,24.0,2024-09-05,Ongoing,2023-07-24,11.1,23.0,17.0,30.0,27.4,Assignment,89.32,86.5,67.54,-1.0,23.333333333333332,77.02000000000001,413.73999999999995,1.0,255.29999999999998
Teresa Henry,55.0,Female,Region Vi,Mobile,Graduate,Student,Mobile,13.6,Career Change,7.0,Machine Learning A-Z,Business,Intermediate,25.0,8.0,10.0,,Completed,2024-12-29,37.8,30.0,35.0,10.0,141.9,Quiz,86.35,34.63,69.7,2.0,25.0,52.165000000000006,1929.84,1.0,1134.0
Robert Page,45.0,Male,Region Vii,Broadband,Graduate,Unemployed,Laptop,15.2,Academic Requirement,12.0,Web Development Bootcamp,Arts,Intermediate,7.0,6.0,9.0,,Dropped,2024-02-21,89.6,18.0,0.0,3.0,101.3,Quiz,53.81,64.89500000000001,80.55,5.0,7.0,72.7225,1539.76,1.0,1612.8
Amanda Schneider,35.0,Male,Region X,Mobile,High School,Employed,Laptop,4.1,Academic Requirement,0.0,Digital Marketing,IT,Beginner,16.0,12.0,11.0,2022-11-06,Ongoing,2022-05-22,100.6,22.0,35.0,16.0,81.9,Final Exam,82.87,79.91,77.02,5.0,24.333333333333332,78.465,335.79,1.0,2213.2
Sara Salas,35.5,Male,Region Vii,Mobile,College,Student,Mobile,29.45,Career Change,10.0,Cybersecurity Essentials,Business,Intermediate,20.0,7.0,22.0,,Dropped,2023-01-25,122.0,14.0,75.5,20.0,78.4,Quiz,47.41,61.4,49.5,1.0,36.5,55.45,2308.88,0.7,1708.0
Joseph Smith,50.0,Male,Ncr,Broadband,College,Student,Laptop,10.2,Personal Interest,1.0,Python For Beginners,Science,Intermediate,30.0,12.0,21.0,,Dropped,2023-03-22,108.5,24.0,3.0,16.0,268.7875,Quiz,137.27875,77.26,38.39,2.0,14.333333333333334,57.825,2741.6325,0.8,2604.0
Traci Douglas,42.0,Female,Region Iii,Broadband,College,Student,Laptop,14.6,Personal Interest,4.0,Business Analytics,Science,Intermediate,29.0,3.0,22.0,,Ongoing,2023-06-28,261.9125,12.0,28.0,22.0,177.3,Final Exam,30.55,50.96,95.73,1.0,20.666666666666668,73.345,2588.58,0.41379310344827586,3142.9500000000003
Tiffany Richardson,33.0,Male,Region V,Broadband,College,Student,Mobile,17.2,Skill Upgrade,1.0,Machine Learning A-Z,Business,Beginner,5.0,7.0,12.0,,Dropped,2022-01-20,170.7,5.0,23.0,4.0,17.1,Quiz,92.92,47.47,84.61,4.0,10.666666666666666,66.03999999999999,294.12,1.0,853.5
Robert Baker,31.0,Male,Metro Manila,Broadband,High School,Student,Mobile,18.6,Personal Interest,7.0,Data Science Fundamentals,Science,Beginner,20.0,17.0,11.0,,Dropped,2022-05-23,57.5,13.0,34.0,0.0,175.0,Quiz,32.68,54.2,60.55,1.0,15.666666666666666,57.375,3255.0000000000005,0.65,747.5
Jennifer Barr,18.0,Male,Region Iii,Limited,College,Employed,Mobile,15.0,Personal Interest,2.0,Ui/Ux Design Principles,Math,Intermediate,26.0,12.0,17.0,,Completed,2024-05-11,74.5,6.0,19.0,15.0,58.8,Final Exam,72.47,60.93,65.78,2.0,13.333333333333334,63.355000000000004,882.0,0.23076923076923078,447.0
Kelsey Melendez,55.0,Female,Region Vii,Limited,College,Student,Laptop,29.45,Academic Requirement,2.0,Mobile App Development,IT,Beginner,27.0,15.0,24.0,2022-07-08,Completed,2022-12-27,128.3,18.0,7.0,25.0,100.3,Assignment,96.5,72.89,65.33,5.0,16.666666666666668,69.11,2953.835,0.6666666666666666,2309.4
Kirsten Gutierrez,46.0,Female,Region Vii,Broadband,College,Employed,Laptop,10.9,Skill Upgrade,14.0,Business Analytics,Business,Intermediate,15.0,20.0,8.0,2022-09-11,Completed,2024-04-29,102.2,7.0,24.0,18.0,13.3,Final Exam,65.33,54.62,89.74,4.0,16.333333333333332,72.17999999999999,144.97,0.4666666666666667,715.4
Tonya Hughes,54.0,Male,Region Vii,Broadband,College,Unemployed,Mobile,8.4,Personal Interest,5.0,Web Development Bootcamp,Math,Advanced,5.0,3.0,17.0,2024-03-08,Completed,2024-02-16,87.3,29.0,48.0,13.0,94.9,Final Exam,33.65,133.78125000000003,65.445,2.0,30.0,99.61312500000001,797.1600000000001,1.0,2531.7
James Jenkins,31.0,Non-Binary,Ncr,Limited,College,Employed,Tablet,5.9,Academic Requirement,3.0,Web Development Bootcamp,Business,Beginner,18.0,12.0,16.0,2023-11-02,Completed,2023-05-13,141.3,20.0,50.0,47.0,82.8,Assignment,65.33,59.4,60.35,4.0,39.0,59.875,488.52000000000004,1.0,2826.0
Kathleen Brooks,49.0,Female,Region X,Limited,College,Unemployed,Desktop,9.3,Skill Upgrade,10.0,Data Science Fundamentals,Business,Intermediate,12.0,15.0,19.0,2023-08-01,Dropped,2023-06-14,159.7,9.0,33.0,2.0,79.1,Quiz,78.34,64.36,36.51,2.0,14.666666666666666,50.435,735.63,0.75,1437.3
Shelley Church,51.0,Female,Region Viii,Limited,College,Employed,Tablet,9.6,Skill Upgrade,3.0,Ui/Ux Design Principles,IT,Beginner,22.0,8.0,19.0,2024-10-12,Completed,2023-02-02,71.3,23.0,75.5,17.0,170.5,Assignment,64.36,70.18,60.83,1.0,38.5,65.505,1636.8,1.0,1639.8999999999999
Meghan Martinez,20.0,Male,Region Vi,Broadband,College,Student,Mobile,3.8,Skill Upgrade,2.0,Data Science Fundamentals,Math,Intermediate,18.0,10.0,16.0,,Ongoing,2024-05-28,115.6,24.0,48.0,6.0,23.8,Final Exam,65.33,61.54,50.39,3.0,26.0,55.965,90.44,1.0,2774.3999999999996
Jennifer Hernandez,30.0,Non-Binary,Region X,Broadband,College,Employed,Mobile,11.3,Skill Upgrade,4.0,Web Development Bootcamp,Business,Advanced,28.0,12.0,18.0,2024-04-04,Ongoing,2024-10-08,111.7,24.0,25.0,7.0,152.1,Quiz,99.97,64.89500000000001,82.94,4.0,18.666666666666668,73.9175,1718.73,0.8571428571428571,2680.8
Sean Lee,43.0,Male,Ncr,Limited,College,Employed,Laptop,7.1,Skill Upgrade,10.0,Digital Marketing,Business,Intermediate,17.0,29.5,14.0,,Dropped,2024-11-19,10.2,15.0,12.0,19.0,116.3,Quiz,48.69,50.16,65.445,5.0,15.333333333333334,57.802499999999995,825.7299999999999,0.8823529411764706,153.0
Jason Koch,35.5,Female,Ncr,Mobile,High School,Employed,Mobile,13.3,Career Change,9.0,Business Analytics,Science,Intermediate,20.0,20.0,10.0,2024-06-11,Completed,2022-05-23,144.3,30.0,17.0,9.0,152.4,Assignment,64.27,2.0,68.63,4.0,18.666666666666668,35.315,2026.92,1.0,4329.0
Joseph Trujillo,31.0,Male,Barmm,Broadband,College,Student,Laptop,15.1,Personal Interest,12.0,Web Development Bootcamp,Arts,Beginner,9.0,13.0,18.0,2023-12-05,Completed,2024-04-19,-72.1875,26.0,21.0,12.0,154.8,Final Exam,56.6,80.31,65.445,1.0,19.666666666666668,72.8775,2337.48,1.0,-1876.875
Michelle Rose,30.0,Female,Ncr,Broadband,High School,Employed,Mobile,9.4,Career Change,1.0,Python For Beginners,Business,Intermediate,16.0,10.0,22.0,2023-04-01,Completed,2024-02-23,50.9,5.0,40.0,8.0,162.8,Assignment,77.43,60.92,71.13,4.0,17.666666666666668,66.025,1530.3200000000002,0.3125,254.5
Jonathan Scott,28.0,Male,Ncr,Broadband,College,Unemployed,Laptop,11.9,Skill Upgrade,0.0,Machine Learning A-Z,Business,Beginner,23.0,4.0,19.0,2023-10-08,Completed,2023-12-23,42.3,25.0,42.0,4.0,163.6,Assignment,65.33,55.54,93.67,4.0,23.666666666666668,74.605,1946.84,1.0,1057.5
David Rose,39.0,Female,Caraga,Mobile,College,Unemployed,Laptop,15.2,Career Change,14.0,Web Development Bootcamp,IT,Beginner,26.0,15.0,21.0,2023-12-05,Ongoing,2022-09-11,124.4,19.0,40.0,3.0,90.2,Final Exam,52.96,75.34,62.5,4.0,20.666666666666668,68.92,1371.04,0.7307692307692307,2363.6
Destiny Boyle,35.0,Male,Ncr,Broadband,Graduate,Student,Laptop,9.6,Skill Upgrade,13.0,Web Development Bootcamp,Science,Beginner,8.0,16.0,34.0,,Completed,2024-01-13,126.6,21.0,25.0,30.0,154.2,Assignment,44.85,133.78125000000003,47.05,5.0,25.333333333333332,90.415625,1480.32,1.0,2658.6
Bob Hanna,53.0,Male,Region Xi,Broadband,High School,Student,Tablet,1.1,Career Change,4.0,Web Development Bootcamp,IT,Intermediate,5.0,14.0,11.0,2022-02-02,Completed,2022-09-17,99.4,16.0,23.0,3.0,47.7,Final Exam,84.83,66.5,132.58625,4.0,14.0,99.543125,52.470000000000006,1.0,1590.4
Randy Hines,-4.0,Male,Region Xi,Mobile,High School,Student,Mobile,6.2,Academic Requirement,10.0,Mobile App Development,Arts,Intermediate,19.0,16.0,7.0,,Completed,2024-04-27,87.1,4.0,20.0,11.0,126.8,Quiz,88.22,36.76,86.82,5.0,11.666666666666666,61.78999999999999,786.16,0.21052631578947367,348.4
Joseph Barton,23.0,Non-Binary,Ncr,Broadband,College,Employed,Mobile,19.4,Personal Interest,3.0,Cybersecurity Essentials,IT,Intermediate,20.0,6.0,21.0,,Dropped,2022-02-23,121.8,1.0,44.0,29.0,11.0,Final Exam,137.27875,98.03,67.13,4.0,24.666666666666668,82.58,213.39999999999998,0.05,121.8
Gina Torres,36.0,Female,Region X,Mobile,High School,Student,Mobile,29.45,Skill Upgrade,14.0,Digital Marketing,Math,Intermediate,18.0,19.0,17.0,,Dropped,2022-04-04,261.9125,10.0,49.0,8.0,30.4,Assignment,42.3,79.26,88.33,1.0,22.333333333333332,83.795,895.28,0.5555555555555556,2619.125
Sarah Mcdonald,17.0,Male,Ncr,Broadband,Graduate,Employed,Tablet,8.7,Skill Upgrade,3.0,Ui/Ux Design Principles,IT,Advanced,19.0,14.0,7.0,,Dropped,2023-09-28,47.7,3.0,7.0,6.0,69.4,Quiz,87.05,40.25,72.17,1.0,5.333333333333333,56.21,603.78,0.15789473684210525,143.10000000000002
Thomas Potter,45.0,Female,Region Vi,Broadband,College,Unemployed,Mobile,13.1,Career Change,10.0,Data Science Fundamentals,Arts,Intermediate,25.0,11.0,15.0,,Completed,2022-04-27,58.8,28.0,38.0,14.0,172.2,Quiz,61.48,75.63,63.29,1.0,26.666666666666668,69.46,2255.8199999999997,1.0,1646.3999999999999
