student_name,age,gender,region,internet_access_type,education_level,employment_status,device_type,weekly_study_hours,learning_goal,prior_courses_completed,course_name,course_category,difficulty_level,total_modules,total_quizzes,course_duration_weeks,enrollment_date,completion_status,login_date,session_duration_minutes,modules_accessed,videos_watched,total_posts,avg_session_duration,assessment_type,score_obtained,quiz_avg_score,assignment_avg_score,satisfaction_rating
Ashley Thompson,17,Female,Region VII,Mobile,GRADUATE,Student,desktop,15.1,Academic Requirement,,Data Science Fundamentals,Business,Beginner,21,20,24,09/05/2024,Ongoing,24/07/2023,11.1,23,17,30,27.4,Assignment,89.32,86.5,67.54,-4
Teresa Henry,55,Female,Region VI,Mobile,graduate,Student,Mobile,13.6,Career Change,7,Machine Learning A-Z,Business,Intermediate,25,8,10,27/05/2022,Completed,29/12/2024,37.8,30,35,10,141.9,Quiz,86.35,34.63,69.7,2
Robert Page,45,Male,Region VII,wifi,Graduate,Unemployed,Laptop,15.2,Academic Requirement,12,Web Development Bootcamp,Arts,Intermediate,7,6,9,14/05/2024,Dropped,21/02/2024,89.6,18,0,3,101.3,quiz,53.81,,80.55,5
Amanda Schneider,35,male,Region X,Mobile,High School,Employed,N/A,4.1,Academic Requirement,0,Digital Marketing,IT,Beginner,16,12,11,11/06/2022,Ongoing,22/05/2022,100.6,22,35,16,81.9,Final Exam,82.87,79.91,77.02,5
Sara Salas,,MALE,Region VII,mobile,College,Student,Mobile,259.2,Career Change,10,Cybersecurity Essentials,Business,intermediate,20,7,22,13/05/2023,Dropped,25/01/2023,122,14,4278,20,78.4,Quiz,47.41,61.4,49.5,1
Joseph Smith,50,Male,N/A,WiFi,College,Student,Laptop,10.2,Personal Interest,1,Python for Beginners,Science,Intermediate,30,12,21,23/09/2024,Dropped,22/03/2023,108.5,24,3,16,7522.5,Quiz,1612.62,77.26,38.39,2
Traci Douglas,42,FEMALE,Region III,Broadband,College,Student,laptop,14.6,Personal Interest,4,Business Analytics,Science,Intermediate,29,3,22,31/05/2022,Ongoing,28/06/2023,2841.3,12,28,22,177.3,Final Exam,30.55,50.96,95.73,1
Tiffany Richardson,33,Male,Region V,Broadband,College,Student - full time,mobile,17.2,Skill Upgrade,1,Machine Learning A-Z,Business,Beginner,5,7,12,23/06/2024,Dropped,20/01/2022,170.7,5,23,4,17.1,Quiz,92.92,47.47,84.61,4
Robert Baker,31,Male,Metro Manila,Broadband,High School,Student,Phone,18.6,Personal Interest,7,Data Science Fundamentals,Science,Beginner,20,17,11,31/01/2023,Dropped,23/05/2022,57.5,13,34,0,175,Quiz,32.68,54.2,60.55,1
Jennifer Barr,18,Male,Region III,Limited,college,Working professional,Phone,15,Personal Interest,2,UI/UX Design Principles,Math,Intermediate,26,12,17,29/08/2023,Completed,11/05/2024,74.5,6,19,,58.8,Final Exam,72.47,60.93,65.78,2
Kelsey Melendez,55,,Region VII,limited,College,Student,Laptop,266,Academic Requirement,2,Mobile App Development,IT,BEGINNER,27,15,24,07/08/2022,Completed,27/12/2022,128.3,18,7,25,100.3,Assignment,96.5,72.89,65.33,5
Kirsten Gutierrez,46,,Region VII,broadband,College,Part-time,,10.9,Skill Upgrade,14,Business Analytics,Business,Intermediate,15,20,8,09/11/2022,Completed,29/04/2024,102.2,7,24,18,13.3,Final Exam,,54.62,89.74,4
Tonya Hughes,54,male,Region VII,Broadband,College,Unemployed,Mobile,8.4,Personal Interest,5,Web Development Bootcamp,Math,Advanced,5,3,17,03/08/2024,Completed,16/02/2024,87.3,29,48,13,,Final Exam,33.65,4250.1,,2
James Jenkins,31,non binary,NCR,Limited,College,Employed,tablet,5.9,Academic Requirement,3,Web Development Bootcamp,Business,Beginner,,12,16,11/02/2023,COMPLETED,13/05/2023,141.3,20,50,1950,82.8,Assignment,,59.4,60.35,4
Kathleen Brooks,49,Female,Region X,Limited,N/A,Unemployed,Desktop,9.3,Skill Upgrade,10,Data Science Fundamentals,Business,Intermediate,12,15,19,08/01/2023,Dropped,14/06/2023,159.7,9,33,2,79.1,Quiz,78.34,64.36,36.51,2
Shelley Church,51,Female,Region VIII,Limited,College,Employed,tablet,9.6,Skill Upgrade,3,UI/UX Design Principles,IT,basic,22,8,19,10/12/2024,Completed,02/02/2023,71.3,23,272,17,170.5,project,64.36,70.18,60.83,1
Meghan Martinez,20,Male,Region VI,broadband,college,Student,Mobile,3.8,Skill Upgrade,2,Data Science Fundamentals,Math,Inter,18,10,16,25/06/2024,Ongoing,28/05/2024,115.6,24,48,6,23.8,Final Exam,,61.54,50.39,3
Jennifer Hernandez,30,Non-binary,Region X,broadband,College,Employed,Mobile,11.3,Skill Upgrade,4,Web Development Bootcamp,Business,Advanced,28,12,18,04/04/2024,Ongoing,08/10/2024,111.7,24,,7,152.1,Quiz,99.97,,82.94,4
